model,asset,n,mse,rmse,mae,directional_accuracy,f1
lstm,sp500,2737,0.0001288722717425813,0.011352192376038265,0.007367271824763672,0.5140664961636828,0.571520618556701
lstm,gold,2777,0.00010839051368207298,0.010411076490069265,0.007233751313273054,0.5088224702916817,0.6153412295544275
lstm,bitcoin,1347,0.0006927296957763052,0.02631975865725796,0.018841614746846164,0.5011135857461024,0.01466275659824047
