mse,rmse,mae,directional_accuracy,f1,n,model,seed,asset
0.00012944936291983347,0.011377581593635507,0.007379421559127972,0.5020094994519547,0.5500165070980522,2737,lstm,0,sp500
0.0001292431614349791,0.011368516237177967,0.007382105558728254,0.5129704055535258,0.5990977443609022,2737,lstm,1,sp500
0.00012865906126266786,0.011342797770509172,0.007382772104905376,0.5104128607964925,0.5231316725978647,2737,lstm,2,sp500
0.00010835960154757764,0.010409591805041044,0.0072459083709366925,0.503781058696435,0.6021939953810623,2777,lstm,0,gold
0.00010980896582267045,0.010478977327137913,0.007299556423038314,0.5009002520705798,0.6021814006888634,2777,lstm,1,gold
0.00010798005336027873,0.010391345117946893,0.007208472231474815,0.5120633777457688,0.6123032904148784,2777,lstm,2,gold
0.0006592043446957338,0.02567497506709079,0.01814560729939143,0.4951744617668894,0.20745920745920746,1347,lstm,0,bitcoin
0.0006938389772302424,0.026340823396967725,0.0188781586009188,0.5025983667409057,0.10187667560321716,1347,lstm,1,bitcoin
0.0007543444395391546,0.02746533159346806,0.02005255949579258,0.5033407572383074,0.008888888888888889,1347,lstm,2,bitcoin
