mse,rmse,mae,directional_accuracy,f1,n,model,seed,asset
0.0001298139993855024,0.01139359466478874,0.007324019094803154,0.546583850931677,0.7017543859649122,2737,tft,0,sp500
0.00013104707393199027,0.011447579391818615,0.007377008520407063,0.5451223967848009,0.7054648687012065,2737,tft,1,sp500
0.00012945280332878599,0.01137773278508447,0.007325220484399836,0.546583850931677,0.701323706377858,2737,tft,2,sp500
0.00010793372047557633,0.010389115480904827,0.00721421603604623,0.5268275117032769,0.6784140969162996,2777,tft,0,gold
0.00010752613321959925,0.01036948085583841,0.007174782453295412,0.5239467050774217,0.6865813181602656,2777,tft,1,gold
0.00010763590881458204,0.01037477271146612,0.00719304921075161,0.5091825711199136,0.6260631001371743,2777,tft,2,gold
0.0006184557167034451,0.02486876990732443,0.017196050299482128,0.5100222717149221,0.4954128440366973,1347,tft,0,bitcoin
0.0006195203201906116,0.024890165129838163,0.01735620845088468,0.4974016332590943,0.6643529995042142,1347,tft,1,bitcoin
0.0006248429487548205,0.024996858777750864,0.017540515742736337,0.4974016332590943,0.6643529995042142,1347,tft,2,bitcoin
