model,asset,order,n,mse,rmse,mae,directional_accuracy,f1
arima,sp500,"(0, 0, 5)",2737,0.00012933465830617367,0.01137253965946805,0.007355691913303638,0.5206430398246255,0.5813656668793874
arima,gold,"(2, 0, 5)",2777,0.00010730632672516887,0.010358876711553664,0.007176237440931639,0.514944184371624,0.5904530252356339
arima,bitcoin,"(1, 0, 0)",1347,0.0006166447432031399,0.024832332617036604,0.017151124417988193,0.5070527097253155,0.6323366555924695
